Time,pixels_from_encoder,pixels_from_cv2
6.5461018,[[[337 465]]],"(610, 538)"
6.5844056,[[[326 460]]],"(604, 537)"
6.627945,[[[320 457]]],"(598, 537)"
6.6675693,[[[320 457]]],"(593, 536)"
6.7153628,[[[326 460]]],"(590, 535)"
6.7597162,[[[339 466]]],"(589, 535)"
6.7998492,[[[354 473]]],"(586, 536)"
6.8412161,[[[373 481]]],"(581, 535)"
6.8841467,[[[400 492]]],"(583, 536)"
6.9247794,[[[427 501]]],"(586, 536)"
6.9631957,[[[448 508]]],"(590, 537)"
7.0058671,[[[465 513]]],"(597, 537)"
7.0455365,[[[482 517]]],"(605, 538)"
7.0902228,[[[501 521]]],"(614, 538)"
7.1306275,[[[521 525]]],"(625, 539)"
7.1761776,[[[540 528]]],"(633, 540)"
7.2122436,[[[559 531]]],"(640, 540)"
7.2547442,[[[576 533]]],"(647, 539)"
7.2958648,[[[593 535]]],"(653, 540)"
7.3339505,[[[606 536]]],"(681, 538)"
7.3796771,[[[621 537]]],"(688, 539)"
7.4241444,[[[634 537]]],"(694, 538)"
7.4633995,[[[644 537]]],"(699, 537)"
7.5146653,[[[647 537]]],"(705, 537)"
7.5582481,[[[650 537]]],"(709, 534)"
7.5967389,[[[648 537]]],"(714, 525)"
7.6396722,[[[648 537]]],"(718, 525)"
7.6793499,[[[645 537]]],"(721, 525)"
7.7175963,[[[643 537]]],"(722, 525)"
7.7621146,[[[642 537]]],"(724, 525)"
7.8027449,[[[640 537]]],"(723, 525)"
7.8472417,[[[638 537]]],"(723, 525)"
7.8881355,[[[638 537]]],"(722, 525)"
7.9299251,[[[640 537]]],"(721, 525)"
7.9749766,[[[640 537]]],"(721, 525)"
8.0177861,[[[641 537]]],"(720, 525)"
8.0608932,[[[641 537]]],"(720, 525)"
8.0990041,[[[642 537]]],"(720, 525)"
8.1449035,[[[642 537]]],"(720, 525)"
8.1859354,[[[641 537]]],"(721, 525)"
8.2270054,[[[642 537]]],"(721, 525)"
